School Name,State Name [Public School] Latest available year,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Black Students [Public School] 2018-19,White Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,Latitude [Public School] 2018-19,Longitude [Public School] 2018-19,CSA ID [District] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19
MEAIRS ELEMENTARY,California,Orange County,="06059",273,280,1,200,304,12,20,5,11,553,22.00,25.14,33.767319,-117.982223,348,553,421,60,481
MECCA ELEMENTARY,California,Riverside County,="06065",398,366,1,–,757,–,5,–,1,764,33.00,23.15,33.575614,-116.075311,348,764,712,33,745
MEDEA CREEK MIDDLE,California,Ventura County,="06111",547,538,3,299,115,13,613,2,40,1085,46.05,23.56,34.183893,-118.764002,348,1085,61,19,80
MEGAN COPE ELEMENTARY,California,Riverside County,="06065",500,510,20,31,735,87,109,3,25,1010,37.00,27.30,33.786216,-117.013105,348,1010,641,121,762
MEINERS OAKS ELEMENTARY,California,Ventura County,="06111",145,126,–,4,138,1,121,–,7,271,12.00,22.58,34.444487,-119.276281,348,271,166,37,203
MELBOURNE (ELLA P.) ELEMENTARY,California,Los Angeles County,="06037",247,211,1,10,426,4,7,3,7,458,18.00,25.44,33.836091,-118.066993,348,458,394,33,427
MELINDA HEIGHTS ELEMENTARY,California,Orange County,="06059",493,517,1,126,200,5,565,1,112,1010,30.49,33.13,33.657796,-117.614444,348,1010,139,14,153
MELROSE AVENUE ELEMENTARY,California,Los Angeles County,="06037",249,194,="0",160,125,24,130,4,="0",443,17.00,26.06,34.084236,-118.345393,348,443,179,35,214
MELROSE ELEMENTARY,California,Orange County,="06059",276,280,–,–,545,5,6,–,–,556,21.00,26.48,33.859519,-117.873431,348,556,524,12,536
MELROSE LEADERSHIP ACADEMY,California,Alameda County,="06001",267,271,1,12,338,41,94,–,52,538,26.94,19.97,37.767263,-122.207328,488,538,195,34,229
MELVA DAVIS ACADEMY OF EXCELLENCE,CALIFORNIA,San Bernardino County,="06071",432,439,2,19,621,126,53,7,43,871,38.01,22.92,34.536690,-117.375978,348,871,561,86,647
MELVILLE S. JACOBSON ELEMENTARY,California,San Joaquin County,="06077",327,325,2,130,329,42,106,16,27,652,27.00,24.15,37.756938,-121.447537,488,652,347,78,425
MELVIN AVENUE ELEMENTARY,California,Los Angeles County,="06037",224,172,–,45,310,18,22,–,1,396,17.00,23.29,34.210251,-118.559667,348,396,330,16,346
MEMORIAL SCHOLARS & ATHLETES,California,San Diego County,="06073",229,187,–,3,391,12,4,–,6,416,23.00,18.09,32.697434,-117.132686,†,416,349,42,391
MENDOCINO ALTERNATIVE,California,Mendocino County,="06045",3,1,="0",="0",="0",="0",4,="0",="0",4,="0.60",6.67,39.307848,-123.802593,†,4,‡,‡,‡
MENDOCINO COUNTY COMMUNITY,California,Mendocino County,="06045",33,18,6,="0",28,1,15,="0",1,51,3.00,17.00,39.160240,-123.215391,†,51,46,="0",46
MENDOCINO COUNTY ROP,California,Mendocino County,="06045",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,39.129320,-123.165314,†,="0",–,–,–
MENDOCINO HIGH,California,Mendocino County,="06045",86,88,3,5,16,2,138,2,8,174,15.91,10.94,39.308186,-123.801527,†,174,54,4,58
MENDOCINO K-8,California,Mendocino County,="06045",169,140,2,6,45,4,236,–,16,309,19.26,16.04,39.310592,-123.784151,†,309,130,8,138
MENDOCINO SUNRISE HIGH,California,Mendocino County,="06045",7,5,1,1,="0",="0",8,="0",2,12,="0.40",30.00,39.308186,-123.801527,†,12,9,="0",9
MENDOTA COMMUNITY DAY,California,Fresno County,="06019",3,1,="0",="0",4,="0",="0",="0",="0",4,1.20,3.33,36.754982,-120.390303,260,4,‡,‡,‡
MENDOTA CONTINUATION HIGH,California,Fresno County,="06019",18,3,="0",="0",21,="0",="0",="0",="0",21,1.80,11.67,36.754982,-120.390303,260,21,21,="0",21
MENDOTA ELEMENTARY,CALIFORNIA,Fresno County,="06019",386,402,–,–,757,–,17,–,14,788,35.00,22.51,36.766354,-120.381563,260,788,756,16,772
MENDOTA HIGH,California,Fresno County,="06019",433,431,–,1,841,1,15,–,6,864,41.42,20.86,36.748115,-120.378616,260,864,791,47,838
MENDOTA JUNIOR HIGH,California,Fresno County,="06019",272,248,–,–,506,1,10,–,3,520,24.36,21.35,36.748064,-120.382764,260,520,484,26,510
MENIFEE PRESCHOOL,California,Riverside County,="06065",†,†,†,†,†,†,†,†,†,†,–,–,33.678106,-117.198522,348,†,†,†,†
MENIFEE VALLEY MIDDLE,California,Riverside County,="06065",622,570,4,70,589,67,403,3,56,1192,47.01,25.36,33.655388,-117.202917,348,1192,454,83,537
MENLO AVENUE ELEMENTARY,California,Los Angeles County,="06037",246,252,–,–,434,63,–,–,1,498,24.00,20.75,34.007784,-118.289686,348,498,484,5,489
MENLO-ATHERTON HIGH,California,San Mateo County,="06081",1295,1203,7,171,1022,113,963,115,107,2498,128.31,19.47,37.461422,-122.174696,488,2498,924,43,967
MENTONE ELEMENTARY,California,San Bernardino County,="06071",255,248,5,9,317,8,128,3,33,503,20.50,24.54,34.071094,-117.120918,348,503,368,46,414
MERCED CITY SCHOOL DISTRICT COMMUNITY DAY,California,Merced County,="06047",13,2,="0",="0",10,2,2,="0",1,15,2.00,7.50,37.339790,-120.463391,382,15,12,="0",12
MERCED COUNTY JUVENILE COURT,California,Merced County,="06047",24,3,="0",="0",16,9,1,="0",1,27,4.50,6.00,37.188865,-120.538405,382,27,24,="0",24
MERCED COUNTY ROP,California,Merced County,="06047",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,37.297620,-120.488000,382,="0",–,–,–
MERCED COUNTY SPECIAL EDUCATION,California,Merced County,="06047",482,208,3,37,443,34,150,5,18,690,62.00,11.13,37.297760,-120.488524,382,690,529,14,543
MERCED ELEMENTARY,California,Los Angeles County,="06037",315,306,–,119,459,14,24,–,5,621,23.00,27.00,34.054457,-117.912874,348,621,371,57,428
MERCED HIGH,California,Merced County,="06047",825,898,10,142,1128,125,287,6,25,1723,80.60,21.38,37.320528,-120.474243,382,1723,1130,157,1287
MERCED SCHOLARS CHARTER,California,Merced County,="06047",49,80,2,3,85,6,25,1,7,129,7.33,17.60,37.294539,-120.509284,382,129,70,15,85
MERCEY SPRINGS ELEMENTARY,California,Merced County,="06047",370,422,3,6,678,8,80,9,8,792,28.00,28.29,37.050569,-120.840790,382,792,584,64,648
MERIDIAN ELEMENTARY,California,Sutter County,="06101",–,–,–,–,–,–,–,–,–,–,4.00,-0.25,39.141915,-121.909962,472,–,28,2,30
MERIDIAN ELEMENTARY,California,San Diego County,="06073",322,277,4,24,147,30,368,1,25,599,25.00,23.96,32.788540,-116.926199,†,599,472,50,522
MERIT ACADEMY,California,San Diego County,="06073",40,24,–,–,21,6,32,–,5,64,6.10,10.49,32.817276,-116.980663,†,64,29,16,45
MERLE L. FULLER ELEMENTARY,California,Madera County,="06039",259,230,4,9,323,16,130,1,6,489,24.00,20.38,37.119009,-120.271559,260,489,373,25,398
MERLINDA ELEMENTARY,California,Los Angeles County,="06037",305,241,–,77,441,8,18,1,1,546,23.50,23.23,34.055547,-117.924624,348,546,365,53,418
MERQUIN ELEMENTARY,California,Merced County,="06047",63,65,–,–,104,–,23,1,–,128,7.50,17.07,37.328218,-120.856867,382,128,99,11,110
MERRILL F. WEST HIGH,California,San Joaquin County,="06077",1062,981,6,384,1131,126,308,27,61,2043,83.50,24.47,37.748206,-121.447109,488,2043,952,213,1165
MERRITT TRACE ELEMENTARY,California,Santa Clara County,="06085",461,465,–,44,637,37,151,4,53,926,35.85,25.83,37.330607,-121.926019,488,926,418,55,473
MERTON E. HILL ELEMENTARY,California,Orange County,="06059",188,150,–,194,124,2,9,3,6,338,15.25,22.16,33.754656,-117.960381,348,338,222,27,249
MERWIN ELEMENTARY,California,Los Angeles County,="06037",252,230,1,23,435,3,19,1,–,482,20.50,23.51,34.096501,-117.930587,348,482,334,57,391
MESA ELEMENTARY,California,Los Angeles County,="06037",360,386,3,147,463,18,101,3,11,746,30.70,24.30,34.066153,-117.881902,348,746,260,76,336
MESA ELEMENTARY,California,Ventura County,="06111",291,324,1,38,426,4,117,1,28,615,26.80,22.95,34.262491,-119.094900,348,615,222,33,255
MESA GRANDE ELEMENTARY,California,San Bernardino County,="06071",335,265,–,4,454,25,99,–,18,600,29.00,20.69,34.418268,-117.308349,348,600,406,6,412
MESA LINDA MIDDLE,California,San Bernardino County,="06071",462,386,5,16,503,210,63,2,49,848,35.01,24.22,34.485658,-117.389685,348,848,633,37,670
MESA MIDDLE,California,San Luis Obispo County,="06079",296,244,3,18,318,1,190,–,10,540,24.80,21.77,35.075907,-120.581480,†,540,301,66,367
MESA ROBLES,California,Los Angeles County,="06037",541,568,–,573,446,4,69,3,14,1109,43.00,25.79,33.992713,-117.961121,348,1109,420,120,540
MESA VERDE ELEMENTARY,California,Stanislaus County,="06099",232,232,5,8,303,4,121,3,20,464,17.50,26.51,37.739021,-120.906787,382,464,350,24,374
MESA VERDE HIGH,California,Sacramento County,="06067",469,430,10,35,332,39,433,5,45,899,44.84,20.05,38.702069,-121.297749,472,899,505,83,588
MESA VERDE MIDDLE,California,San Diego County,="06073",662,677,2,524,139,28,485,10,151,1339,53.99,24.80,32.961805,-117.146696,†,1339,161,40,201
MESA VERDE MIDDLE,California,Ventura County,="06111",346,331,–,43,295,5,291,1,42,677,27.37,24.74,34.270560,-118.865359,348,677,199,27,226
MESA VIEW ELEMENTARY,California,Riverside County,="06065",445,446,2,48,405,88,323,9,16,891,38.00,23.45,33.724090,-117.148032,348,891,267,125,392
MESA VIEW MIDDLE,California,Orange County,="06059",416,423,4,172,253,6,345,–,59,839,32.70,25.66,33.706346,-118.011703,348,839,246,19,265
MESA VIEW MIDDLE,California,Riverside County,="06065",413,380,3,13,378,17,365,–,17,793,35.80,22.15,33.998353,-117.070584,348,793,417,55,472
MESQUITE CONTINUATION HIGH,California,Kern County,="06029",31,38,–,1,27,6,34,1,–,69,5.30,13.02,35.638427,-117.671917,†,69,51,11,62
MESQUITE ELEMENTARY,California,Los Angeles County,="06037",396,399,2,11,614,121,33,–,14,795,31.75,25.04,34.566362,-118.052263,348,795,640,77,717
MESQUITE TRAILS ELEMENTARY,California,San Bernardino County,="06071",449,459,1,4,562,24,135,–,182,908,35.00,25.94,34.398323,-117.360843,348,908,493,54,547
METHOD SCHOOLS LA,CALIFORNIA,Los Angeles County,="06037",14,12,="0",2,7,="0",14,="0",3,26,3.51,7.41,34.151380,-118.022161,348,26,12,2,14
METHODSCHOOLS,CALIFORNIA,San Diego County,="06073",65,35,="0",3,29,10,49,1,8,100,3.01,33.22,32.782060,-116.850971,†,100,32,7,39
METRO CHARTER,CALIFORNIA,Los Angeles County,="06037",32,43,–,6,48,12,4,–,5,75,4.00,18.75,34.078090,-118.216061,348,75,43,6,49
METROPOLITAN CONTINUATION,California,Los Angeles County,="06037",34,24,–,–,55,3,–,–,–,58,4.00,14.50,34.033668,-118.234249,348,58,54,1,55
METWEST HIGH,California,Alameda County,="06001",88,72,–,9,105,28,8,2,8,160,11.50,13.91,37.795308,-122.257863,488,160,115,13,128
MEYLER STREET ELEMENTARY,California,Los Angeles County,="06037",401,336,–,34,590,74,24,12,3,737,33.00,22.33,33.824820,-118.295692,348,737,605,59,664
MICHAEL D'ARCY ELEMENTARY,California,San Bernardino County,="06071",258,231,3,19,372,64,19,3,9,489,20.50,23.85,34.041473,-117.465955,348,489,285,68,353
MICHAEL G. WICKMAN ELEMENTARY,California,San Bernardino County,="06071",462,420,1,430,233,27,141,2,48,882,32.50,27.14,33.958649,-117.711587,348,882,148,27,175
MICHAEL J. CASTORI ELEMENTARY,California,Sacramento County,="06067",322,327,4,125,344,91,58,11,16,649,24.00,27.04,38.633154,-121.424304,472,649,490,14,504
MICHELLE OBAMA ELEMENTARY,California,Los Angeles County,="06037",385,371,–,40,688,5,22,1,–,756,31.00,24.39,34.218840,-118.452888,348,756,690,9,699
MICHELTORENA STREET ELEMENTARY,California,Los Angeles County,="06037",177,211,1,21,212,17,133,2,2,388,18.00,21.56,34.088853,-118.275298,348,388,159,33,192
MICKEY COX ELEMENTARY,California,Fresno County,="06019",322,315,10,50,253,19,282,3,20,637,23.00,27.70,36.831312,-119.673979,260,637,284,59,343
MID VALLEY ALTERNATIVE CHARTER,California,Kings County,="06031",10,9,1,1,5,–,12,–,–,19,2.00,9.50,36.329840,-119.581571,546,19,8,2,10
MID VALLEY HIGH (CONTINUATION),California,Colusa County,="06011",12,7,–,–,19,–,–,–,–,19,1.05,18.10,39.155020,-122.156200,†,19,16,="0",16
MID-CITY'S PRESCOTT SCHOOL OF ENRICHED SCIENCES,California,Los Angeles County,="06037",120,121,="0",3,153,65,19,="0",1,241,9.00,26.78,34.032071,-118.318061,348,241,159,29,188
MIDDLE COLLEGE HIGH,California,Los Angeles County,="06037",157,247,–,1,250,149,3,–,1,404,15.00,26.93,33.926614,-118.308383,348,404,292,53,345
MIDDLE COLLEGE HIGH,California,Orange County,="06059",156,193,–,15,332,–,2,–,–,349,14.35,24.32,33.759920,-117.890081,348,349,225,45,270
MIDDLE COLLEGE HIGH,California,San Joaquin County,="06077",100,154,2,147,53,7,29,5,11,254,8.30,30.60,37.995359,-121.318594,488,254,103,25,128
MIDDLE COLLEGE HIGH,California,Contra Costa County,="06013",117,171,–,72,150,38,22,2,4,288,10.00,28.80,37.972098,-122.339414,488,288,120,36,156
MIDDLE COLLEGE HIGH,California,Santa Clara County,="06085",8,35,2,6,19,1,11,1,3,43,2.00,21.50,37.315639,-121.929997,488,43,15,6,21
MIDDLE COLLEGE HIGH,California,San Bernardino County,="06071",121,146,–,7,225,17,13,1,4,267,10.00,26.70,34.088775,-117.313097,348,267,192,36,228
MIDDLETON PRIMARY CENTER,California,Los Angeles County,="06037",132,140,–,–,272,–,–,–,–,272,12.00,22.67,33.978998,-118.229869,348,272,231,12,243
MIDDLETON STREET ELEMENTARY,California,Los Angeles County,="06037",463,456,="0",="0",900,4,14,1,="0",919,36.00,25.53,33.980101,-118.228015,348,919,849,29,878
MIDDLETOWN HIGH,California,Lake County,="06033",248,251,7,10,121,2,340,2,17,499,24.15,20.66,38.755142,-122.614103,†,499,203,49,252
MIDDLETOWN MIDDLE,California,Lake County,="06033",121,100,2,1,59,1,144,1,13,221,12.00,18.42,38.755350,-122.613173,†,221,103,19,122
MIDLAND ELEMENTARY,California,Riverside County,="06065",345,301,–,4,484,76,48,5,29,646,27.50,23.49,33.955136,-117.238756,348,646,511,66,577
MIDLAND ELEMENTARY,California,San Diego County,="06073",314,311,1,64,209,8,285,–,58,625,21.50,29.07,32.966958,-117.036932,†,625,208,35,243
MIDWAY ELEMENTARY,California,Kern County,="06029",34,46,1,–,9,–,67,–,3,80,6.00,13.33,35.172228,-119.544033,†,80,40,2,42
MIGUEL HIDALGO ELEMENTARY,California,Imperial County,="06025",346,292,–,–,622,4,8,–,4,638,26.00,24.54,32.972323,-115.527235,†,638,575,34,609
MIGUEL HIDALGO ELEMENTARY,California,Fresno County,="06019",319,311,3,72,504,40,6,–,5,630,28.00,22.50,36.752578,-119.764581,260,630,526,87,613
MIGUELITO ELEMENTARY,California,Santa Barbara County,="06083",310,313,2,11,423,16,143,1,27,623,26.00,23.96,34.633853,-120.476463,†,623,377,45,422
MIKE CHOATE EARLY CHILDHOOD EDUCATION CENTER,CALIFORNIA,San Diego County,="06073",†,†,†,†,†,†,†,†,†,†,–,–,33.377277,-117.253989,†,†,†,†,†
MILDRED B. JANSON ELEMENTARY,California,Los Angeles County,="06037",296,297,–,391,159,2,14,–,27,593,24.00,24.71,34.074448,-118.080507,348,593,369,89,458
MILDRED PERKINS ELEMENTARY,CALIFORNIA,Stanislaus County,="06099",164,168,–,15,188,20,83,5,21,332,15.20,21.84,37.695590,-121.057341,382,332,211,43,254
MILES AVENUE ELEMENTARY,California,Los Angeles County,="06037",506,474,–,1,955,4,19,–,1,980,43.50,22.53,33.977907,-118.218676,348,980,875,49,924
MILES P. RICHMOND,California,Sacramento County,="06067",34,23,1,4,21,12,15,1,3,57,5.00,11.40,38.684620,-121.360550,472,57,35,1,36
MILES W. CULWELL COMMUNITY DAY,California,Fresno County,="06019",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,36.150586,-120.362599,260,="0",–,–,–
MILK (HARVEY) CIVIL RIGHTS ELEMENTARY,California,San Francisco County,="06075",119,102,1,11,37,28,96,4,44,221,10.00,22.10,37.759063,-122.436259,488,221,60,9,69
MILL ELEMENTARY,California,Los Angeles County,="06037",221,217,–,5,410,–,10,–,13,438,15.60,28.08,34.015034,-118.042518,348,438,266,34,300
MILL STREET ELEMENTARY,California,Glenn County,="06021",283,228,8,15,361,2,125,–,–,511,25.00,20.44,39.745216,-122.190812,†,511,379,28,407
MILL VALLEY MIDDLE,California,Marin County,="06041",549,490,6,49,85,5,789,1,104,1039,57.72,18.00,37.897211,-122.528846,488,1039,60,3,63
MILLARD MCCOLLAM ELEMENTARY,California,Santa Clara County,="06085",258,244,3,195,244,6,35,2,17,502,23.00,21.83,37.381032,-121.832614,488,502,229,64,293
MILLBROOK ELEMENTARY,California,Santa Clara County,="06085",307,311,–,393,182,4,15,7,17,618,20.50,30.15,37.319322,-121.786865,488,618,179,23,202
MILLENNIAL TECH MIDDLE,California,San Diego County,="06073",252,196,1,27,292,92,9,1,26,448,23.80,18.82,32.717087,-117.088964,†,448,351,34,385
MILLENNIUM CHARTER,CALIFORNIA,San Joaquin County,="06077",266,285,2,76,288,40,124,4,17,551,22.40,24.60,37.746350,-121.424431,488,551,118,4,122
MILLENNIUM CHARTER HIGH,CALIFORNIA,Monterey County,="06053",69,60,1,3,77,1,39,–,8,129,9.00,14.33,36.691683,-121.651306,†,129,41,6,47
MILLENNIUM HIGH ALTERNATIVE,California,Alameda County,="06001",33,32,1,5,15,10,26,–,8,65,5.80,11.21,37.823471,-122.232475,488,65,11,="0",11
MILLER (ISAAC) ELEMENTARY,California,Santa Barbara County,="06083",456,474,1,8,885,9,27,–,–,930,36.25,25.66,34.941171,-120.430867,†,930,825,42,867
MILLER CREEK MIDDLE,California,Marin County,="06041",354,293,1,48,109,7,416,2,64,647,33.20,19.49,38.030331,-122.547607,488,647,90,3,93
MILLER ELEMENTARY,California,San Diego County,="06073",377,349,3,22,174,62,370,8,87,726,30.60,23.73,32.818134,-117.106032,†,726,167,290,457
MILLER ELEMENTARY,California,San Diego County,="06073",213,206,–,28,259,7,95,1,29,419,20.00,20.95,33.096974,-117.079891,†,419,225,47,272
MILLER'S HILL,California,El Dorado County,="06017",52,27,1,4,6,–,59,–,9,79,5.00,15.80,38.555606,-120.989985,472,79,8,="0",8
MILLIKAN HIGH,California,Los Angeles County,="06037",1793,1736,8,268,1603,308,1092,30,220,3529,141.94,24.86,33.807758,-118.109840,348,3529,1182,233,1415
MILLIKIN ELEMENTARY,California,Santa Clara County,="06085",265,293,2,480,12,9,40,1,14,558,16.35,34.13,37.344573,-121.975700,488,558,12,1,13
MILLS HIGH,California,San Mateo County,="06081",601,581,2,662,221,6,24,35,232,1182,57.91,20.41,37.594267,-122.390589,488,1182,213,31,244
MILLS MIDDLE,California,Sacramento County,="06067",395,374,5,67,325,111,200,15,46,769,40.34,19.06,38.598795,-121.304068,472,769,569,63,632
MILLSWOOD MIDDLE,California,San Joaquin County,="06077",433,416,5,45,434,6,313,2,44,849,39.09,21.72,38.137376,-121.298749,488,849,452,70,522
MILLVIEW ELEMENTARY,California,Madera County,="06039",365,349,3,2,665,27,17,–,–,714,29.13,24.51,36.972058,-120.040005,260,714,673,24,697
MILLVILLE ELEMENTARY,California,Shasta County,="06089",128,138,1,2,17,1,235,–,10,266,11.75,22.64,40.551815,-122.169437,454,266,88,8,96
MILOR CONTINUATION HIGH,California,San Bernardino County,="06071",167,75,="0",3,204,27,4,2,2,242,19.14,12.64,34.085748,-117.373715,348,242,179,14,193
MILPITAS HIGH,California,Santa Clara County,="06085",1626,1551,3,2166,619,66,161,23,139,3177,129.21,24.59,37.450763,-121.900550,488,3177,816,171,987
MINARETS CHARTER HIGH,California,Madera County,="06039",147,177,6,2,81,7,213,–,15,324,12.92,25.08,37.124457,-119.729959,260,324,93,19,112
MINARETS HIGH,California,Madera County,="06039",89,92,18,1,27,–,128,–,7,181,8.62,21.00,37.124457,-119.729959,260,181,90,6,96
MINERAL KING ELEMENTARY,California,Tulare County,="06107",363,270,1,24,494,6,86,1,21,633,23.12,27.38,36.325337,-119.255045,546,633,414,74,488
MINNIE CANNON ELEMENTARY,California,Lake County,="06033",93,82,1,1,69,–,92,–,12,175,7.00,25.00,38.756638,-122.616036,†,175,101,23,124
MINT CANYON COMMUNITY ELEMENTARY,California,Los Angeles County,="06037",237,180,–,9,332,16,45,1,14,417,17.07,24.43,34.451519,-118.420471,348,417,288,54,342
MINTIE WHITE ELEMENTARY,California,Santa Cruz County,="06087",316,308,1,3,451,1,167,–,1,624,27.00,23.11,36.919642,-121.753824,488,624,510,29,539
MIRA CATALINA ELEMENTARY,California,Los Angeles County,="06037",191,171,1,50,76,5,181,1,48,362,14.00,25.86,33.740162,-118.335066,348,362,22,4,26
MIRA COSTA HIGH,California,Los Angeles County,="06037",1243,1309,4,255,383,54,1575,3,278,2552,100.22,25.46,33.874700,-118.389434,348,2552,157,22,179
MIRA LOMA HIGH,California,Sacramento County,="06067",831,970,8,479,358,136,692,24,104,1801,76.67,23.49,38.633024,-121.370393,472,1801,874,61,935
MIRA LOMA MIDDLE,California,Riverside County,="06065",343,379,2,3,660,6,43,–,8,722,34.25,21.08,33.996147,-117.502634,348,722,491,55,546
MIRA MESA HIGH,California,San Diego County,="06073",1258,1142,7,1128,537,117,312,20,279,2400,90.61,26.49,32.910702,-117.141842,†,2400,792,268,1060
MIRA MONTE ELEMENTARY,California,Ventura County,="06111",184,199,–,6,158,–,197,–,22,383,14.60,26.23,34.433443,-119.279110,348,383,144,49,193
MIRA MONTE HIGH,California,Kern County,="06029",1270,1198,7,29,2207,128,85,–,12,2468,101.50,24.32,35.337631,-118.933281,†,2468,2144,136,2280
MIRA VISTA ELEMENTARY,California,Contra Costa County,="06013",302,264,1,65,214,100,144,5,37,566,26.60,21.28,37.940878,-122.314028,488,566,282,50,332
MIRALESTE INTERMEDIATE,California,Los Angeles County,="06037",482,433,–,127,215,32,468,4,69,915,37.40,24.47,33.753606,-118.330182,348,915,87,10,97
MIRALOMA ELEMENTARY,California,San Francisco County,="06075",225,166,3,62,61,15,180,2,68,391,18.90,20.69,37.738984,-122.450201,488,391,52,6,58
MIRAMAR RANCH ELEMENTARY,California,San Diego County,="06073",382,319,2,177,120,25,285,–,92,701,26.60,26.35,32.909451,-117.098346,†,701,74,44,118
MIRAMONTE ELEMENTARY,California,Los Angeles County,="06037",220,214,–,15,415,1,1,–,2,434,18.00,24.11,34.056966,-118.041229,348,434,379,18,397
MIRAMONTE ELEMENTARY,California,Los Angeles County,="06037",364,347,1,="0",692,11,7,="0",="0",711,30.00,23.70,33.978106,-118.249876,348,711,668,15,683
MIRAMONTE ELEMENTARY,California,Fresno County,="06019",318,302,4,69,373,7,153,1,13,620,23.50,26.38,36.790734,-119.686993,260,620,429,81,510
MIRAMONTE HIGH,California,Contra Costa County,="06013",630,656,6,223,98,37,795,5,122,1286,62.40,20.61,37.841005,-122.146099,488,1286,52,="0",52
MIRANDA JUNIOR HIGH,CALIFORNIA,Humboldt County,="06023",60,61,1,1,25,–,85,1,8,121,5.80,20.86,40.236927,-123.822977,†,121,63,11,74
MIRUS SECONDARY,CALIFORNIA,San Bernardino County,="06071",113,101,–,4,147,11,41,–,11,214,8.00,26.75,34.425890,-117.354201,348,214,121,15,136
MISSION ACADEMY,CALIFORNIA,Los Angeles County,="06037",49,57,4,1,65,16,16,–,4,106,10.00,10.60,34.472708,-118.196768,348,106,77,8,85
MISSION AVENUE OPEN ELEMENTARY,California,Sacramento County,="06067",229,246,–,22,70,5,337,1,40,475,17.00,27.94,38.618665,-121.356251,472,475,97,15,112
MISSION BAY HIGH,California,San Diego County,="06073",570,547,5,41,576,57,357,7,74,1117,54.12,20.64,32.800342,-117.223876,†,1117,483,135,618
MISSION BELL ELEMENTARY,California,Riverside County,="06065",212,168,–,–,368,1,9,–,2,380,17.00,22.35,34.016087,-117.501205,348,380,316,28,344
MISSION COMMUNITY DAY,California,Kings County,="06031",10,5,="0",="0",14,1,="0",="0",="0",15,–,†,36.097733,-119.570866,546,15,12,="0",12
MISSION CONTINUATION,California,Los Angeles County,="06037",51,26,–,–,74,1,1,–,1,77,3.50,22.00,34.270942,-118.440905,348,77,67,1,68
MISSION CREST ELEMENTARY,California,San Bernardino County,="06071",509,481,–,19,678,121,151,5,16,990,38.00,26.05,34.411478,-117.378255,348,990,634,79,713
MISSION EARLY COLLEGE HIGH,CALIFORNIA,Santa Clara County,="06085",46,55,–,26,33,8,21,–,13,101,–,†,37.391286,-121.982133,488,101,36,8,44
MISSION EDUCATION CENTER,California,San Francisco County,="06075",55,50,1,1,82,3,7,–,11,105,8.00,13.13,37.742209,-122.431323,488,105,65,1,66
MISSION ELEMENTARY,California,Contra Costa County,="06013",318,268,7,43,309,136,55,11,25,586,23.00,25.48,37.996851,-121.832297,488,586,416,65,481
MISSION ELEMENTARY,California,San Diego County,="06073",269,241,1,10,428,27,30,2,12,510,20.47,24.91,33.206976,-117.362350,†,510,442,35,477
MISSION ELEMENTARY,California,Monterey County,="06053",61,70,–,4,104,–,21,–,2,131,6.00,21.83,36.390201,-121.364747,†,131,31,="0",31
MISSION ELEMENTARY,California,San Bernardino County,="06071",302,277,1,93,284,71,100,4,26,579,22.50,25.73,34.061627,-117.226850,348,579,379,46,425
MISSION ELEMENTARY,California,San Bernardino County,="06071",333,306,9,9,560,25,22,2,12,639,26.00,24.58,34.051318,-117.683695,348,639,517,60,577
MISSION ESTANCIA ELEMENTARY,California,San Diego County,="06073",232,251,2,39,75,7,329,1,30,483,21.00,23.00,33.072170,-117.240401,†,483,43,6,49
MISSION HIGH,California,San Francisco County,="06075",666,433,10,145,571,161,124,11,77,1099,65.45,16.79,37.761578,-122.427363,488,1099,619,30,649
MISSION HILL MIDDLE,California,Santa Cruz County,="06087",298,309,1,25,184,17,335,2,43,607,25.89,23.45,36.974521,-122.036186,488,607,178,39,217
MISSION HILLS HIGH,California,San Diego County,="06073",1341,1285,12,253,1402,84,852,22,1,2626,–,†,33.145286,-117.144400,†,2626,944,207,1151
MISSION MEADOWS ELEMENTARY,California,San Diego County,="06073",293,251,1,8,328,5,159,10,33,544,23.00,23.65,33.246161,-117.256869,†,544,262,46,308
MISSION MIDDLE,California,San Diego County,="06073",504,488,2,14,937,8,25,–,6,992,50.26,19.74,33.133778,-117.074009,†,992,809,113,922
MISSION MIDDLE,California,Riverside County,="06065",425,385,–,5,764,10,24,4,3,810,34.93,23.19,34.004534,-117.416483,348,810,649,55,704
MISSION OAK HIGH,California,Tulare County,="06107",812,742,5,31,1188,23,300,1,6,1554,66.49,23.37,36.198460,-119.298940,546,1554,889,98,987
